buyer_segment_rollup,buyer_segment,title,num_title
Decision Maker,Information Decision Maker,Director,313808
Decision Maker,Information Decision Maker,"Manager, Information Technology",63581
Decision Maker,Information Decision Maker,Office Manager,30668
Decision Maker,Information Decision Maker,Head of Department,14866
Decision Maker,Information Decision Maker,"Project Manager, Information Technology",14290
Decision Maker,Information Decision Maker,Senior Information Technology Manager,11717
Decision Maker,Information Decision Maker,IT Infrastructure Manager,8152
Decision Maker,Information Decision Maker,Senior IT Manager,4835
Decision Maker,Information Decision Maker,Service Delivery Manager,4452
Decision Maker,Information Decision Maker,DBA,3945
Decision Maker,Information Decision Maker,IT Service Manager,3651
Decision Maker,Information Decision Maker,Network Manager,3169
Decision Maker,Information Decision Maker,Information Technology Service Delivery Manager,2949
Decision Maker,Information Decision Maker,Information Technology Program Manager,2751
Decision Maker,Information Decision Maker,Senior IT Project Manager,2477
Decision Maker,Information Decision Maker,Information Technology Services Manager,2298
Decision Maker,Information Decision Maker,Information Technology Infrastructure Manager,2084
Decision Maker,Information Decision Maker,"Manager, Information Technology Support",1579
Decision Maker,Information Decision Maker,Assistant IT Manager,1391
Decision Maker,Information Decision Maker,IT Application Manager,1346
Decision Maker,Information Decision Maker,Information Technology Audit Manager,1243
Decision Maker,Information Decision Maker,Network Operations Manager,1064
Decision Maker,Information Decision Maker,Group Information Technology Manager,1053
Decision Maker,Information Decision Maker,Infrastructure Project Manager,1044
Decision Maker,Information Decision Maker,IT Systems Manager,928
Decision Maker,Information Decision Maker,Manager - IT Infrastructure And Cloud Operations,894
Decision Maker,Information Decision Maker,"Manager, Information Technology Applications",815
Decision Maker,Information Decision Maker,Group IT Manager,785
Decision Maker,Information Decision Maker,Information Technology Application Manager,745
Decision Maker,Information Decision Maker,Regional Information Technology Manager,728
Decision Maker,Information Decision Maker,General Manager Information Technology,694
Decision Maker,Information Decision Maker,Customer Support Manager,684
Decision Maker,Information Decision Maker,"Manager, Information Technology Systems",669
Decision Maker,Information Decision Maker,IT Infrastructure And Operations Manager,660
Decision Maker,Information Decision Maker,Information Technology Development Manager,651
Decision Maker,Information Decision Maker,"Senior Manager, Information Technology Operations",632
Decision Maker,Information Decision Maker,"Manager, Information Services",602
Decision Maker,Information Decision Maker,"Senior Manager, IT Infrastructure",589
Decision Maker,Information Decision Maker,Infrastructure Services Manager,587
Decision Maker,Information Decision Maker,IT Delivery Manager,583
Decision Maker,Information Decision Maker,Information Technology Business Relationship Manager,578
Decision Maker,Information Decision Maker,"Manager, Infrastructure Engineering",570
Decision Maker,Information Decision Maker,"Assistant Manager, Information Technology",564
Decision Maker,Information Decision Maker,"Manager, Technical Support",561
Decision Maker,Information Decision Maker,Network Infrastructure Manager,521
Decision Maker,Information Decision Maker,IT Business Relationship Manager,493
Decision Maker,Information Decision Maker,Senior IT Operations Manager,478
Decision Maker,Information Decision Maker,"Manager, Network Services",476
Decision Maker,Information Decision Maker,Business Application Manager,474
Decision Maker,Information Decision Maker,IT Asset Manager,473
Decision Maker,Information Decision Maker,Information Technology Help Desk Manager,439
Decision Maker,Information Decision Maker,IT Operation Manager,412
Decision Maker,Information Decision Maker,Platform Manager,400
Decision Maker,Information Decision Maker,IT Solutions Manager,393
Decision Maker,Information Decision Maker,"Manager, Information Technology Network",390
Decision Maker,Information Decision Maker,Corporate IT Manager,390
Decision Maker,Information Decision Maker,Information Technology System Manager,386
Decision Maker,Information Decision Maker,Senior Service Delivery Manager,365
Decision Maker,Information Decision Maker,Information Technology Solutions Manager,360
Decision Maker,Information Decision Maker,Information Technology Dir,359
Decision Maker,Information Decision Maker,Corporate Information Technology Manager,343
Decision Maker,Information Decision Maker,Senior Infrastructure Manager,343
Decision Maker,Information Decision Maker,Information Technology Engineering Manager,339
Decision Maker,Information Decision Maker,Support Services Manager,339
Decision Maker,Information Decision Maker,Cloud Manager,314
Decision Maker,Information Decision Maker,"Manager, IT Security",310
Decision Maker,Information Decision Maker,Senior IT Audit Manager,303
Decision Maker,Information Decision Maker,Lead Information Technology Project Manager,301
Decision Maker,Information Decision Maker,Lead Database Administrator,300
Decision Maker,Information Decision Maker,Business Support Manager,298
Decision Maker,Information Decision Maker,Information Technology Business Manager,289
Decision Maker,Information Decision Maker,Cloud Operations Manager,280
Decision Maker,Information Decision Maker,Information Technology Portfolio Manager,274
Decision Maker,Information Decision Maker,Senior Infrastructure Project Manager,272
Decision Maker,Information Decision Maker,Software Asset Manager,269
Decision Maker,Information Decision Maker,AVP IT,265
Decision Maker,Information Decision Maker,Information Technology Compliance Manager,265
Decision Maker,Information Decision Maker,Senior Application Manager,261
Decision Maker,Information Decision Maker,IT Change Manager,255
Decision Maker,Information Decision Maker,"Manager, Database Administration",252
Decision Maker,Information Decision Maker,IT Governance Manager,250
Decision Maker,Information Decision Maker,IT Technical Manager,250
Decision Maker,Information Decision Maker,IT Manager ||,250
Decision Maker,Information Decision Maker,IT Service Operations Manager,249
Decision Maker,Information Decision Maker,"Manager, Information Technology Service Operations",247
Decision Maker,Information Decision Maker,Systems Infrastructure Manager,245
Decision Maker,Information Decision Maker,Senior Technical Support Manager,236
Decision Maker,Information Decision Maker,IT Department Manager,233
Decision Maker,Information Decision Maker,"Technical Manager, Information Technology",231
Decision Maker,Information Decision Maker,"Senior Manager, Network Engineering",231
Decision Maker,Information Decision Maker,Senior Manager Information Technology Infrastructure,229
Decision Maker,Information Decision Maker,IT Application Development Manager,227
Decision Maker,Information Decision Maker,"Change Manager, Information Technology",227
Decision Maker,Information Decision Maker,Deputy IT Manager,223
Decision Maker,Information Decision Maker,"Senior Manager, Information Technology Security",223
Decision Maker,Information Decision Maker,"Manager, Information Technology Department",222
Decision Maker,Information Decision Maker,"Manager, Application Support",222
Decision Maker,Information Decision Maker,IT Category Manager,208
Decision Maker,Information Decision Maker,"Senior Manager, Infrastructure Operations",206
Decision Maker,Information Decision Maker,Information Technology Infrastructure Operations Manager,204
Practitioner,Data End User,Senior Data Analyst,10814
Practitioner,Data End User,Senior Business Analyst,8244
Practitioner,Data End User,Business Intelligence Analyst,6383
Practitioner,Data End User,Business Intelligence Developer,3421
Practitioner,Data End User,BI,2558
Practitioner,Data End User,AI,1872
Practitioner,Data End User,Data Scientist / Analyst / Engineer,1853
Practitioner,Data End User,Research Analyst,1729
Practitioner,Data End User,Senior Business Intelligence Analyst,1681
Practitioner,Data End User,Senior Researcher,1497
Practitioner,Data End User,Senior Data Architect,1436
Practitioner,Data End User,Business Intelligence Engineer,1203
