Person Title,Person Buyer Segment,sub_category,broad_category
Assistant General Manager Finance,Finance End User,Assistant General Manager It,Information End User
Assistant General Manager Finance,Finance End User,Assistant General Manager It,Information End User
Phd In Civil/Structural Engineering At Sejong University,Junk/Invalid,,
Frontend Web Developer,Technology End User,Frontend Web Developer,Technology End User
Pgt Cs,Industry LOB - Edu End User,,
백엔드 서버 개발자,Technology End User,,
Senior Software Development Engineer,Technology End User,Senior Software Development Engineer,Technology End User
Consulantant,Technology End User,Consulantant,Technology End User
Software Engineer,Technology End User,Software Engineer,Technology End User
Softwarde Development Engineer,Technology End User,Softwarde Development Engineer,Technology End User
Founder,Other Decision Maker,Founder,Technology End User
Eng,Technology End User,Eng,Technology End User
Assistant Professor,Industry LOB - Edu End User,Assistant Professor In Ai Law,Technology End User
Engineer,Technology End User,Engineer,Technology End User
Founder,Other Executive,Founder,Technology End User
Frontend Developer,Technology End User,Frontend Developer,Technology End User
Executive Assistan To Chief Operations Officer,Operations End User,Executive Assistan To Chief Operations Officer,Operations End User
Technical Architect,Technology End User,Technical Architect,Technology End User
Assistant Manager,Other End User,Air Assistant Manager,Information Decision Maker
Senior Frontend developer,Technology End User,Senior Frontend Developer,Technology End User
System Administrator,Technology End User,System Administrator,Technology End User
Software Engineer,Technology End User,Software Engineer,Technology End User
Owner,Other Decision Maker,Owner Operator,Operations End User
Data Driven Insigh Analyst,Data End User,Data Driven Insigh Analyst,Data End User
Product Manager,Product Decision Maker,Product Manager,Product End User
IT Admin,Information Decision Maker,It Admin,Information Decision Maker
Enginner,Technology End User,Enginner,Technology End User
Administrative Assistant AI ML and Data Science,Other End User,Assistant Administrative Assistant,Information End User
I.T Analyst,Technology End User,I.T Analyst,Technology End User
Cloud Engineer,Technology End User,Cloud Engineer,Technology End User
Security engineer,Security End User,Security Engineer,Security End User
PM,Other End User,Pm,Product End User
Project Lead,Technology End User,Project Lead,Technology End User
Hr,HR End User,"""Manager, Hr Information""",Information Decision Maker
Manager,Other End User,Manager,Technology End User
MACHINE LEARNING ENGINEER,Technology End User,Machine Learning Engineer,Technology End User
Data Analyst,Data End User,Data Analyst,Data End User
DEVELOPER,Technology End User,Developer,Technology End User
Deputy General Manager,Other End User,Deputy Executive General Manager,Information Decision Maker
Senior software engineer,Technology End User,Senior Software Engineer,Technology End User
Product Analyst,Product End User,Product Analyst,Product End User
DEVELOPER,Technology End User,Developer,Technology End User
Ai Automation,Technology End User,Ai Automation,Technology End User
Senior Devops Engineer,Technology End User,Senior Devops Engineer,Technology End User
Dht,Junk/Invalid,General Manager Dht,Information Decision Maker
TSE,Junk/Invalid,Sr. Tse,Technology End User
백엔드 서버 개발자,Technology End User,,
Software Engineer,Technology End User,Software Engineer,Technology End User
Project Lead,Technology End User,Project Lead,Technology End User
Data Scientist,Data End User,Data Scientist,Data End User
Software Developer,Technology End User,Software Developer,Technology End User
Research Engineer,Technology End User,Research Engineer,Technology End User
Senior team lead - Motion Graphics Artist,Technology End User,Senior Team Lead - Motion Graphics Artist,Technology End User
EDUCATOR,Industry LOB - Edu End User,A I Educator,Technology End User
MACHINE LEARNING ENGINEER,Technology End User,Machine Learning Engineer,Technology End User
TEAM LEAD,Other End User,Ms Team Lead,Information End User
Amrith,Junk/Invalid,,
OPC,Junk/Invalid,Solutions Opc,Operations End User
Data Analyst,Data End User,Data Analyst,Data End User
Data analyst,Data End User,Data Analyst,Data End User
Quality Assurance Engineer,Other End User,Quality Assurance Engineer,Technology End User
Associate,Other End User,"""Agile Developer, Associate Ii""",Technology End User
Data Engineer,Technology End User,Data Engineer,Technology End User
Photography,Other End User,Photography Team Lead,Technology End User
Founder,Other Decision Maker,Founder,Technology End User
Assistant Vice President Corporate Sales,Sales Decision Maker,Assistant Vice President It,Information Decision Maker
Something Else,Other End User,Something Else / Solutions Architect,Technology End User
Senior Machine Learning Engineer,Technology End User,Senior Machine Learning Engineer,Technology End User
Mr,Other End User,,
Data Analyst,Data End User,Data Analyst,Data End User
Graduate Engineer Trainee,Technology End User,Graduate Engineer Trainee,Technology End User
부장,Other Decision Maker,,
Technical Architect,Technology End User,Technical Architect,Technology End User
