source_title,mapped_title,match_score,match_kind,buyer_segment_rollup,buyer_segment
Sr. Database Administrator,Sr. Database Administrator,100.0,fuzzy,Practitioner,Data End User
Senior Analyst,Senior Analyst,100.0,fuzzy,Practitioner,Technology End User
Data Engineering Lead,Data Engineering Lead,100.0,fuzzy,Practitioner,Data End User
Data Science Engineer,Data Science Engineer,100.0,fuzzy,Practitioner,Data End User
Database Developer,Database Developer,100.0,fuzzy,Practitioner,Information End User
Senior AI Engineer,Senior AI Engineer,100.0,fuzzy,Practitioner,Data End User
Senior Application Developer,Senior Application Developer,100.0,fuzzy,Practitioner,Technology End User
Senior Application Engineer,Senior Application Engineer,100.0,fuzzy,Practitioner,Technology End User
Senior Architect,Senior Architect,100.0,fuzzy,Practitioner,Technology End User
Senior Data Analyst,Senior Data Analyst,100.0,fuzzy,Practitioner,Data End User
Senior Data Engineer,Senior Data Engineer,100.0,fuzzy,Practitioner,Technology End User
SWE,Software Engineer,100.0,alias,Practitioner,Technology End User
SRE,SRE,100.0,alias,Practitioner,Technology End User
Data Warehouse Developer,Data Warehouse Developer,100.0,fuzzy,Practitioner,Data End User
Lead QA Engineer,Lead QA Engineer,100.0,fuzzy,Practitioner,Operations End User
Solutions Architect,Solutions Architect,100.0,fuzzy,Practitioner,Technology End User
Information Technology Compliance Manager,Information Technology Compliance Manager,100.0,fuzzy,Decision Maker,Information Decision Maker
Information Technology Project Manager,Information Technology Project Manager,100.0,fuzzy,Practitioner,Information End User
Lead Machine Learning Engineer,Lead Machine Learning Engineer,100.0,fuzzy,Practitioner,Data End User
Infrastructure Engineer,Infrastructure Engineer,100.0,fuzzy,Practitioner,Information End User
Information Technology System Administrator,Information Technology System Administrator,100.0,fuzzy,Practitioner,Information End User
Information Technology Team Lead,Information Technology Team Lead,100.0,fuzzy,Practitioner,Information End User
Senior Database Engineer,Senior Database Engineer,100.0,fuzzy,Practitioner,Data End User
Senior Developer,Senior Developer,100.0,fuzzy,Practitioner,Technology End User
SDE Intern,SDE,100.0,alias,Practitioner,Technology End User
Salesforce Developer,Salesforce Developer,100.0,fuzzy,Practitioner,Technology End User
SDE,SDE,100.0,alias,Practitioner,Technology End User
SDE 1,SDE,100.0,alias,Practitioner,Technology End User
SDE 2,SDE,100.0,alias,Practitioner,Technology End User
Research Engineer,Research Engineer,100.0,fuzzy,Practitioner,Technology End User
SE,SE,100.0,fuzzy,Practitioner,Technology End User
SDE-1,SDE,100.0,alias,Practitioner,Technology End User
SDE-2,SDE,100.0,alias,Practitioner,Technology End User
Quality Assurance Specialist,Quality Assurance Specialist,100.0,fuzzy,Practitioner,Operations End User
Quality Assurance Team Lead,Quality Assurance Team Lead,100.0,fuzzy,Practitioner,Operations End User
Assistant IT Manager,Assistant IT Manager,100.0,fuzzy,Decision Maker,Information Decision Maker
Software Quality Assurance Engineer,Software Quality Assurance Engineer,100.0,fuzzy,Practitioner,Operations End User
Application Engineer,Application Engineer,100.0,fuzzy,Practitioner,Technology End User
Analytics Manager,Analytics Manager,100.0,fuzzy,Practitioner,Data End User
Analytics Specialist,Analytics Specialist,100.0,fuzzy,Practitioner,Data End User
Application Architect,Application Architect,100.0,fuzzy,Practitioner,Technology End User
Software Engineering Team Lead,Software Engineering Team Lead,100.0,fuzzy,Practitioner,Technology End User
